,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
0,EEG_Q39M69N100,5,2,LOO,RFR,2,0.6470588235294118,0.492592183071889
1,EEG_Q39M69N100,5,2,LOO,RFR,3,0.35294117647058826,0.49259218307188896
2,EEG_Q39M69N100,5,2,LOO,MLR,2,0.6470588235294118,0.492592183071889
3,EEG_Q39M69N100,5,2,LOO,MLR,3,0.35294117647058826,0.49259218307188896
4,EEG_Q39M69N100,5,2,LOO,SVM,2,0.5294117647058824,0.5144957554275266
5,EEG_Q39M69N100,5,2,LOO,SVM,3,0.11764705882352941,0.3321055820775357
6,EEG_Q39M69N100,5,2,80:20,RFR,2,0.6666666666666666,0.408248290463863
7,EEG_Q39M69N100,5,2,80:20,RFR,3,0.26666666666666666,0.2788866755113585
8,EEG_Q39M69N100,5,2,80:20,MLR,2,0.6,0.3651483716701107
9,EEG_Q39M69N100,5,2,80:20,MLR,3,0.19999999999999998,0.29814239699997197
10,EEG_Q39M69N100,5,2,80:20,SVM,2,0.39999999999999997,0.3651483716701107
11,EEG_Q39M69N100,5,2,80:20,SVM,3,0.13333333333333333,0.18257418583505536
12,EEG_Q39M69N100,5,2,70:30,RFR,2,0.76,0.08944271909999162
13,EEG_Q39M69N100,5,2,70:30,RFR,3,0.48000000000000004,0.2280350850198276
14,EEG_Q39M69N100,5,2,70:30,MLR,2,0.8,0.1414213562373095
15,EEG_Q39M69N100,5,2,70:30,MLR,3,0.52,0.1095445115010332
16,EEG_Q39M69N100,5,2,70:30,SVM,2,0.52,0.30331501776206204
17,EEG_Q39M69N100,5,2,70:30,SVM,3,0.16,0.16733200530681513
18,EEG_Q39M69N100,5,4,LOO,RFR,2,0.4117647058823529,0.5072996561958923
19,EEG_Q39M69N100,5,4,LOO,RFR,3,0.23529411764705882,0.4372373160976031
20,EEG_Q39M69N100,5,4,LOO,MLR,2,0.6470588235294118,0.492592183071889
21,EEG_Q39M69N100,5,4,LOO,MLR,3,0.35294117647058826,0.49259218307188896
22,EEG_Q39M69N100,5,4,LOO,SVM,2,0.47058823529411764,0.5144957554275266
