,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
0,EEG_Z39M69N100,10,2,70:30,SVR,2,0.8,0.10540925533894598
1,EEG_Z39M69N100,10,2,70:30,SVR,3,0.575,0.1687371394276382
2,EEG_Z39M69N100,10,2,70:30,MLR,2,0.825,0.1687371394276382
3,EEG_Z39M69N100,10,2,70:30,MLR,3,0.575,0.20581815058714115
4,EEG_Z39M69N100,10,2,70:30,RFR,2,0.65,0.17480147469502524
5,EEG_Z39M69N100,10,2,70:30,RFR,3,0.45,0.15811388300841897
6,EEG_Z39M69N100,10,2,70:30,SVC,2,0.6,0.21081851067789195
7,EEG_Z39M69N100,10,2,70:30,SVC,3,0.35,0.21081851067789195
8,EEG_Z39M69N100,10,2,70:30,LOG,2,0.625,0.21245914639969937
9,EEG_Z39M69N100,10,2,70:30,LOG,3,0.35,0.21081851067789195
10,EEG_Z39M69N100,10,2,70:30,RFC,2,0.6,0.24152294576982397
11,EEG_Z39M69N100,10,2,70:30,RFC,3,0.325,0.1687371394276382
12,EEG_Z39M69N100,10,2,80:20,SVR,2,0.7,0.2459549291242073
13,EEG_Z39M69N100,10,2,80:20,SVR,3,0.4333333333333333,0.27442420078285484
14,EEG_Z39M69N100,10,2,80:20,MLR,2,0.6333333333333333,0.2459549291242073
15,EEG_Z39M69N100,10,2,80:20,MLR,3,0.36666666666666664,0.24595492912420727
16,EEG_Z39M69N100,10,2,80:20,RFR,2,0.5333333333333333,0.32203059435976533
17,EEG_Z39M69N100,10,2,80:20,RFR,3,0.3333333333333333,0.2721655269759087
18,EEG_Z39M69N100,10,2,80:20,SVC,2,0.6333333333333333,0.29186501192363773
19,EEG_Z39M69N100,10,2,80:20,SVC,3,0.4333333333333333,0.16101529717988264
20,EEG_Z39M69N100,10,2,80:20,LOG,2,0.6,0.2629368792488718
21,EEG_Z39M69N100,10,2,80:20,LOG,3,0.4333333333333333,0.16101529717988264
22,EEG_Z39M69N100,10,2,80:20,RFC,2,0.6,0.3063121944908938
23,EEG_Z39M69N100,10,2,80:20,RFC,3,0.36666666666666664,0.18921540406584889
