,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
162,EEG_Q39M69N100,10,10,LOO,RFC,2,0.4117647058823529,0.5072996561958923
163,EEG_Q39M69N100,10,10,LOO,RFC,3,0.23529411764705882,0.4372373160976031
164,EEG_Q39M69N100,10,10,LOO,LOG,2,0.47058823529411764,0.5144957554275266
165,EEG_Q39M69N100,10,10,LOO,LOG,3,0.17647058823529413,0.3929526239966879
166,EEG_Q39M69N100,10,10,LOO,SVC,2,0.5294117647058824,0.5144957554275266
167,EEG_Q39M69N100,10,10,LOO,SVC,3,0.11764705882352941,0.3321055820775357
168,EEG_Q39M69N100,10,10,80:20,RFC,2,0.39999999999999997,0.2629368792488718
169,EEG_Q39M69N100,10,10,80:20,RFC,3,0.2333333333333333,0.27442420078285484
170,EEG_Q39M69N100,10,10,80:20,LOG,2,0.5,0.23570226039551584
171,EEG_Q39M69N100,10,10,80:20,LOG,3,0.16666666666666666,0.23570226039551584
172,EEG_Q39M69N100,10,10,80:20,SVC,2,0.5666666666666667,0.2249828525701843
173,EEG_Q39M69N100,10,10,80:20,SVC,3,0.09999999999999999,0.16101529717988264
174,EEG_Q39M69N100,10,10,70:30,RFC,2,0.44,0.24585451886114368
175,EEG_Q39M69N100,10,10,70:30,RFC,3,0.32,0.19321835661585918
176,EEG_Q39M69N100,10,10,70:30,LOG,2,0.62,0.14757295747452437
177,EEG_Q39M69N100,10,10,70:30,LOG,3,0.36,0.18378731669453627
178,EEG_Q39M69N100,10,10,70:30,SVC,2,0.48,0.214993539954628
179,EEG_Q39M69N100,10,10,70:30,SVC,3,0.3,0.1699673171197595
180,EEG_Q39S69N100,5,2,LOO,RFC,2,0.5882352941176471,0.5072996561958923
181,EEG_Q39S69N100,5,2,LOO,RFC,3,0.35294117647058826,0.49259218307188896
182,EEG_Q39S69N100,5,2,LOO,LOG,2,0.6470588235294118,0.492592183071889
183,EEG_Q39S69N100,5,2,LOO,LOG,3,0.0,0.0
184,EEG_Q39S69N100,5,2,LOO,SVC,2,0.6470588235294118,0.492592183071889
185,EEG_Q39S69N100,5,2,LOO,SVC,3,0.0,0.0
186,EEG_Q39S69N100,5,2,80:20,RFC,2,0.6666666666666666,0.33333333333333337
187,EEG_Q39S69N100,5,2,80:20,RFC,3,0.3333333333333333,0.23570226039551584
188,EEG_Q39S69N100,5,2,80:20,LOG,2,0.6,0.3651483716701107
189,EEG_Q39S69N100,5,2,80:20,LOG,3,0.06666666666666667,0.14907119849998599
190,EEG_Q39S69N100,5,2,80:20,SVC,2,0.6,0.3651483716701107
191,EEG_Q39S69N100,5,2,80:20,SVC,3,0.06666666666666667,0.14907119849998599
192,EEG_Q39S69N100,5,2,70:30,RFC,2,0.6,0.1414213562373095
193,EEG_Q39S69N100,5,2,70:30,RFC,3,0.28,0.17888543819998318
194,EEG_Q39S69N100,5,2,70:30,LOG,2,0.6,0.24494897427831783
195,EEG_Q39S69N100,5,2,70:30,LOG,3,0.24000000000000002,0.3286335345030997
196,EEG_Q39S69N100,5,2,70:30,SVC,2,0.6,0.3464101615137755
197,EEG_Q39S69N100,5,2,70:30,SVC,3,0.12000000000000001,0.10954451150103323
198,EEG_Q39S69N100,5,4,LOO,RFC,2,0.5882352941176471,0.5072996561958923
199,EEG_Q39S69N100,5,4,LOO,RFC,3,0.35294117647058826,0.49259218307188896
200,EEG_Q39S69N100,5,4,LOO,LOG,2,0.6470588235294118,0.492592183071889
201,EEG_Q39S69N100,5,4,LOO,LOG,3,0.0,0.0
202,EEG_Q39S69N100,5,4,LOO,SVC,2,0.6470588235294118,0.492592183071889
203,EEG_Q39S69N100,5,4,LOO,SVC,3,0.0,0.0
204,EEG_Q39S69N100,5,4,80:20,RFC,2,0.6666666666666666,0.33333333333333337
205,EEG_Q39S69N100,5,4,80:20,RFC,3,0.3333333333333333,0.23570226039551584
206,EEG_Q39S69N100,5,4,80:20,LOG,2,0.6,0.3651483716701107
207,EEG_Q39S69N100,5,4,80:20,LOG,3,0.06666666666666667,0.14907119849998599
208,EEG_Q39S69N100,5,4,80:20,SVC,2,0.6,0.3651483716701107
209,EEG_Q39S69N100,5,4,80:20,SVC,3,0.06666666666666667,0.14907119849998599
210,EEG_Q39S69N100,5,4,70:30,RFC,2,0.6,0.1414213562373095
211,EEG_Q39S69N100,5,4,70:30,RFC,3,0.24000000000000002,0.16733200530681513
212,EEG_Q39S69N100,5,4,70:30,LOG,2,0.6,0.24494897427831783
213,EEG_Q39S69N100,5,4,70:30,LOG,3,0.24000000000000002,0.3286335345030997
214,EEG_Q39S69N100,5,4,70:30,SVC,2,0.6,0.3464101615137755
215,EEG_Q39S69N100,5,4,70:30,SVC,3,0.12000000000000001,0.10954451150103323
216,EEG_Q39S69N100,5,6,LOO,RFC,2,0.5294117647058824,0.5144957554275266
217,EEG_Q39S69N100,5,6,LOO,RFC,3,0.29411764705882354,0.4696682183138621
218,EEG_Q39S69N100,5,6,LOO,LOG,2,0.6470588235294118,0.492592183071889
219,EEG_Q39S69N100,5,6,LOO,LOG,3,0.0,0.0
220,EEG_Q39S69N100,5,6,LOO,SVC,2,0.6470588235294118,0.492592183071889
221,EEG_Q39S69N100,5,6,LOO,SVC,3,0.0,0.0
222,EEG_Q39S69N100,5,6,80:20,RFC,2,0.6666666666666666,0.33333333333333337
223,EEG_Q39S69N100,5,6,80:20,RFC,3,0.26666666666666666,0.14907119849998596
224,EEG_Q39S69N100,5,6,80:20,LOG,2,0.6,0.3651483716701107
225,EEG_Q39S69N100,5,6,80:20,LOG,3,0.06666666666666667,0.14907119849998599
226,EEG_Q39S69N100,5,6,80:20,SVC,2,0.6,0.3651483716701107
227,EEG_Q39S69N100,5,6,80:20,SVC,3,0.06666666666666667,0.14907119849998599
228,EEG_Q39S69N100,5,6,70:30,RFC,2,0.56,0.16733200530681513
229,EEG_Q39S69N100,5,6,70:30,RFC,3,0.24,0.260768096208106
230,EEG_Q39S69N100,5,6,70:30,LOG,2,0.64,0.260768096208106
231,EEG_Q39S69N100,5,6,70:30,LOG,3,0.24000000000000002,0.3286335345030997
232,EEG_Q39S69N100,5,6,70:30,SVC,2,0.64,0.260768096208106
233,EEG_Q39S69N100,5,6,70:30,SVC,3,0.12000000000000001,0.10954451150103323
234,EEG_Q39S69N100,5,8,LOO,RFC,2,0.5294117647058824,0.5144957554275266
235,EEG_Q39S69N100,5,8,LOO,RFC,3,0.23529411764705882,0.4372373160976031
236,EEG_Q39S69N100,5,8,LOO,LOG,2,0.6470588235294118,0.492592183071889
237,EEG_Q39S69N100,5,8,LOO,LOG,3,0.058823529411764705,0.24253562503633297
