,CSV,N_Fold,N_Feat,Validation,Model,N_Class,Acc_Test,SD_Test
314,EEG_Q39S69N100,10,6,80:20,LOG,2,0.6333333333333333,0.24595492912420727
315,EEG_Q39S69N100,10,6,80:20,LOG,3,0.16666666666666666,0.17568209223157663
316,EEG_Q39S69N100,10,6,80:20,SVC,2,0.6333333333333333,0.24595492912420727
317,EEG_Q39S69N100,10,6,80:20,SVC,3,0.16666666666666666,0.17568209223157663
318,EEG_Q39S69N100,10,6,70:30,RFC,2,0.52,0.1398411797560202
319,EEG_Q39S69N100,10,6,70:30,RFC,3,0.26,0.23190036174568116
320,EEG_Q39S69N100,10,6,70:30,LOG,2,0.64,0.2065591117977289
321,EEG_Q39S69N100,10,6,70:30,LOG,3,0.26,0.23190036174568116
322,EEG_Q39S69N100,10,6,70:30,SVC,2,0.64,0.2065591117977289
323,EEG_Q39S69N100,10,6,70:30,SVC,3,0.2,0.13333333333333336
324,EEG_Q39S69N100,10,8,LOO,RFC,2,0.5294117647058824,0.5144957554275266
325,EEG_Q39S69N100,10,8,LOO,RFC,3,0.23529411764705882,0.4372373160976031
326,EEG_Q39S69N100,10,8,LOO,LOG,2,0.6470588235294118,0.492592183071889
327,EEG_Q39S69N100,10,8,LOO,LOG,3,0.058823529411764705,0.24253562503633297
328,EEG_Q39S69N100,10,8,LOO,SVC,2,0.6470588235294118,0.492592183071889
329,EEG_Q39S69N100,10,8,LOO,SVC,3,0.0,0.0
330,EEG_Q39S69N100,10,8,80:20,RFC,2,0.5666666666666667,0.2249828525701843
331,EEG_Q39S69N100,10,8,80:20,RFC,3,0.36666666666666664,0.24595492912420727
332,EEG_Q39S69N100,10,8,80:20,LOG,2,0.6,0.2629368792488718
333,EEG_Q39S69N100,10,8,80:20,LOG,3,0.16666666666666666,0.17568209223157663
334,EEG_Q39S69N100,10,8,80:20,SVC,2,0.6333333333333333,0.24595492912420727
335,EEG_Q39S69N100,10,8,80:20,SVC,3,0.16666666666666666,0.17568209223157663
336,EEG_Q39S69N100,10,8,70:30,RFC,2,0.56,0.12649110640673517
337,EEG_Q39S69N100,10,8,70:30,RFC,3,0.26,0.23190036174568116
338,EEG_Q39S69N100,10,8,70:30,LOG,2,0.62,0.19888578520235065
339,EEG_Q39S69N100,10,8,70:30,LOG,3,0.28,0.214993539954628
340,EEG_Q39S69N100,10,8,70:30,SVC,2,0.64,0.2065591117977289
341,EEG_Q39S69N100,10,8,70:30,SVC,3,0.2,0.13333333333333336
342,EEG_Q39S69N100,10,10,LOO,RFC,2,0.5882352941176471,0.5072996561958923
343,EEG_Q39S69N100,10,10,LOO,RFC,3,0.29411764705882354,0.4696682183138621
344,EEG_Q39S69N100,10,10,LOO,LOG,2,0.6470588235294118,0.492592183071889
345,EEG_Q39S69N100,10,10,LOO,LOG,3,0.058823529411764705,0.24253562503633297
346,EEG_Q39S69N100,10,10,LOO,SVC,2,0.6470588235294118,0.492592183071889
347,EEG_Q39S69N100,10,10,LOO,SVC,3,0.0,0.0
348,EEG_Q39S69N100,10,10,80:20,RFC,2,0.6,0.2629368792488718
349,EEG_Q39S69N100,10,10,80:20,RFC,3,0.3333333333333333,0.3142696805273545
350,EEG_Q39S69N100,10,10,80:20,LOG,2,0.6,0.2629368792488718
351,EEG_Q39S69N100,10,10,80:20,LOG,3,0.16666666666666666,0.17568209223157663
352,EEG_Q39S69N100,10,10,80:20,SVC,2,0.6333333333333333,0.24595492912420727
353,EEG_Q39S69N100,10,10,80:20,SVC,3,0.16666666666666666,0.17568209223157663
354,EEG_Q39S69N100,10,10,70:30,RFC,2,0.62,0.14757295747452437
355,EEG_Q39S69N100,10,10,70:30,RFC,3,0.32,0.23475755815545343
356,EEG_Q39S69N100,10,10,70:30,LOG,2,0.6,0.16329931618554522
357,EEG_Q39S69N100,10,10,70:30,LOG,3,0.28,0.214993539954628
358,EEG_Q39S69N100,10,10,70:30,SVC,2,0.64,0.2065591117977289
359,EEG_Q39S69N100,10,10,70:30,SVC,3,0.2,0.13333333333333336
360,EEG_Z39M69N100,5,2,LOO,RFC,2,0.5,0.5163977794943222
361,EEG_Z39M69N100,5,2,LOO,RFC,3,0.3125,0.47871355387816905
362,EEG_Z39M69N100,5,2,LOO,LOG,2,0.625,0.5
363,EEG_Z39M69N100,5,2,LOO,LOG,3,0.0625,0.25
364,EEG_Z39M69N100,5,2,LOO,SVC,2,0.4375,0.51234753829798
365,EEG_Z39M69N100,5,2,LOO,SVC,3,0.1875,0.4031128874149275
366,EEG_Z39M69N100,5,2,80:20,RFC,2,0.5333333333333333,0.18257418583505536
367,EEG_Z39M69N100,5,2,80:20,RFC,3,0.26666666666666666,0.2788866755113585
368,EEG_Z39M69N100,5,2,80:20,LOG,2,0.5333333333333333,0.18257418583505536
369,EEG_Z39M69N100,5,2,80:20,LOG,3,0.06666666666666667,0.14907119849998599
370,EEG_Z39M69N100,5,2,80:20,SVC,2,0.5333333333333333,0.18257418583505536
371,EEG_Z39M69N100,5,2,80:20,SVC,3,0.06666666666666667,0.14907119849998599
372,EEG_Z39M69N100,5,2,70:30,RFC,2,0.5,0.1767766952966369
373,EEG_Z39M69N100,5,2,70:30,RFC,3,0.2,0.27386127875258304
374,EEG_Z39M69N100,5,2,70:30,LOG,2,0.6,0.22360679774997896
375,EEG_Z39M69N100,5,2,70:30,LOG,3,0.25,0.0
376,EEG_Z39M69N100,5,2,70:30,SVC,2,0.6,0.13693063937629152
377,EEG_Z39M69N100,5,2,70:30,SVC,3,0.25,0.0
378,EEG_Z39M69N100,5,4,LOO,RFC,2,0.4375,0.51234753829798
379,EEG_Z39M69N100,5,4,LOO,RFC,3,0.3125,0.47871355387816905
380,EEG_Z39M69N100,5,4,LOO,LOG,2,0.625,0.5
381,EEG_Z39M69N100,5,4,LOO,LOG,3,0.0625,0.25
382,EEG_Z39M69N100,5,4,LOO,SVC,2,0.4375,0.51234753829798
383,EEG_Z39M69N100,5,4,LOO,SVC,3,0.125,0.3415650255319866
384,EEG_Z39M69N100,5,4,80:20,RFC,2,0.5333333333333333,0.18257418583505536
385,EEG_Z39M69N100,5,4,80:20,RFC,3,0.26666666666666666,0.14907119849998596
386,EEG_Z39M69N100,5,4,80:20,LOG,2,0.4666666666666666,0.18257418583505536
387,EEG_Z39M69N100,5,4,80:20,LOG,3,0.06666666666666667,0.14907119849998599
388,EEG_Z39M69N100,5,4,80:20,SVC,2,0.3333333333333333,0.23570226039551584
389,EEG_Z39M69N100,5,4,80:20,SVC,3,0.0,0.0
390,EEG_Z39M69N100,5,4,70:30,RFC,2,0.45,0.32596012026013244
391,EEG_Z39M69N100,5,4,70:30,RFC,3,0.15,0.22360679774997896
392,EEG_Z39M69N100,5,4,70:30,LOG,2,0.6,0.22360679774997896
393,EEG_Z39M69N100,5,4,70:30,LOG,3,0.2,0.11180339887498948
394,EEG_Z39M69N100,5,4,70:30,SVC,2,0.5,0.1767766952966369
395,EEG_Z39M69N100,5,4,70:30,SVC,3,0.3,0.27386127875258304
396,EEG_Z39M69N100,5,6,LOO,RFC,2,0.5,0.5163977794943222
397,EEG_Z39M69N100,5,6,LOO,RFC,3,0.25,0.4472135954999579
398,EEG_Z39M69N100,5,6,LOO,LOG,2,0.625,0.5
399,EEG_Z39M69N100,5,6,LOO,LOG,3,0.0625,0.25
400,EEG_Z39M69N100,5,6,LOO,SVC,2,0.4375,0.51234753829798
401,EEG_Z39M69N100,5,6,LOO,SVC,3,0.25,0.4472135954999579
402,EEG_Z39M69N100,5,6,80:20,RFC,2,0.5333333333333333,0.29814239699997197
403,EEG_Z39M69N100,5,6,80:20,RFC,3,0.19999999999999998,0.18257418583505536
404,EEG_Z39M69N100,5,6,80:20,LOG,2,0.4666666666666666,0.18257418583505536
405,EEG_Z39M69N100,5,6,80:20,LOG,3,0.06666666666666667,0.14907119849998599
406,EEG_Z39M69N100,5,6,80:20,SVC,2,0.3333333333333333,0.23570226039551584
407,EEG_Z39M69N100,5,6,80:20,SVC,3,0.13333333333333333,0.18257418583505536
408,EEG_Z39M69N100,5,6,70:30,RFC,2,0.5,0.25
409,EEG_Z39M69N100,5,6,70:30,RFC,3,0.1,0.223606797749979
410,EEG_Z39M69N100,5,6,70:30,LOG,2,0.55,0.27386127875258304
411,EEG_Z39M69N100,5,6,70:30,LOG,3,0.25,0.0
412,EEG_Z39M69N100,5,6,70:30,SVC,2,0.45,0.11180339887498948
413,EEG_Z39M69N100,5,6,70:30,SVC,3,0.35,0.22360679774997896
414,EEG_Z39M69N100,5,8,LOO,RFC,2,0.6875,0.47871355387816905
415,EEG_Z39M69N100,5,8,LOO,RFC,3,0.375,0.5
416,EEG_Z39M69N100,5,8,LOO,LOG,2,0.5,0.5163977794943222
417,EEG_Z39M69N100,5,8,LOO,LOG,3,0.3125,0.47871355387816905
418,EEG_Z39M69N100,5,8,LOO,SVC,2,0.375,0.5
419,EEG_Z39M69N100,5,8,LOO,SVC,3,0.3125,0.47871355387816905
420,EEG_Z39M69N100,5,8,80:20,RFC,2,0.5333333333333333,0.29814239699997197
421,EEG_Z39M69N100,5,8,80:20,RFC,3,0.19999999999999998,0.18257418583505536
422,EEG_Z39M69N100,5,8,80:20,LOG,2,0.4666666666666666,0.18257418583505536
423,EEG_Z39M69N100,5,8,80:20,LOG,3,0.06666666666666667,0.14907119849998599
